"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Navigate","Forward History","Alt+Right","In Windows"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows"
"Edit","Delete","Delete","In Windows"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Source","Surround With Quick Menu","Shift+Alt+Z","In Windows"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"C/C++ Source","Organize Includes","Shift+Ctrl+O","C/C++ Editor"
"Navigate","Previous","Ctrl+,","In Windows"
"C/C++ Source","Surround With Quick Menu","Shift+Alt+Z","C/C++ Editor"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Views","Show View (Console)","Shift+Alt+Q C","In Windows"
"Search","Show Occurrences in File Quick Menu","Shift+Ctrl+U","In Windows"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"File","New","Ctrl+N","In Windows"
"C/C++ Source","Go to Next Member","Shift+Ctrl+Down","C/C++ Editor"
"Run/Debug","Run Java Applet","Shift+Alt+X A","In Windows"
"Run/Debug","Debug Ant Build","Shift+Alt+D Q","In Windows"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"Run/Debug","Inspect","Shift+Ctrl+I","In Dialogs and Windows"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editing Java Source"
"Run/Debug","Run JUnit Test","Shift+Alt+X T","In Windows"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Text Editing","Select Line End","Shift+End","Editing Text"
"C/C++ Source","Comment/Uncomment","Ctrl+/","C/C++ Editor"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
"Views","Show View (Search)","Shift+Alt+Q S","In Windows"
"Source","Show Source Quick Menu","Shift+Alt+S","In Windows"
"C/C++ Source","Indent Line","Ctrl+I","C/C++ Editor"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing Java Source"
"C/C++ Source","Quick Type Hierarchy","Ctrl+T","C/C++ Editor"
"Navigate","Open Declaration","F3","In Windows"
"Source","Format","Shift+Ctrl+F","Editing Java Source"
"Window","Quick Switch Editor","Alt+Q","In Windows"
"File","Save All","Shift+Ctrl+S","In Windows"
"Spy","Plug-in Menu Spy","Shift+Alt+F2","In Dialogs and Windows"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Refactor - Java","Extract Local Variable","Shift+Alt+L","In Windows"
"Refactor - Java","Show Refactor Quick Menu","Shift+Alt+T","In Windows"
"File","Close","Ctrl+E Ctrl+W","In Windows"
"Views","Show View (History)","Shift+Alt+Q Z","In Windows"
"C/C++ Source","Open Element","Shift+Ctrl+T","In C/C++ Views"
"Source","Format","Shift+Ctrl+F","Editing Ant Buildfiles"
"Source","Quick Assist - Assign to field","Ctrl+2 F","Editing Java Source"
"C/C++ Source","Remove Block Comment","Shift+Ctrl+\","C/C++ Editor"
"Source","Add Javadoc Comment","Shift+Alt+J","In Windows"
"Run/Debug","Run JUnit Plug-in Test","Shift+Alt+X P","In Windows"
"Navigate","Backward History","Alt+Left","In Windows"
"File","Close","Ctrl+F4","In Windows"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"C/C++ Source","Add Include","Shift+Ctrl+N","C/C++ Editor"
"Search","References in Workspace","Shift+Ctrl+G","In Windows"
"C/C++ Source","Back","Alt+Left","In Macro Expansion Hover"
"Edit","Select Next Element","Shift+Alt+Right","Editing Java Source"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Run/Debug","Run","Ctrl+E B","In Windows"
"C/C++ Source","Show Source Quick Menu","Shift+Alt+S","C/C++ Editor"
"Navigate","Next","Ctrl+.","In Windows"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Text Editing","Show Tooltip Description","F2","Editing Text"
