"Run/Debug","Run Java Applet","Shift+Alt+X A","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Run/Debug","Debug Java Applet","Shift+Alt+D A","In Windows"
"Window","Quick Access","Shift+Ctrl+P","In Windows"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"Run/Debug","Debug Java Application","Shift+Alt+D J","In Windows"
"C/C++ Source","Open Declaration","F3","C/C++ Editor"
"Refactor - Java","Extract Local Variable","Shift+Alt+L","In Windows"
"Run/Debug","Run Ant Build","Shift+Alt+X Q","In Windows"
"Run/Debug","Run Java Application","Shift+Alt+X J","In Windows"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"File","Save All","Shift+Ctrl+S","In Windows"
"Git","Commit...","Ctrl+#","In Windows"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing Java Source"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Source","Rename In File","Shift+Alt+R","Editing Ant Buildfiles"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editor Breadcrumb Navigation"
"Edit","Select Enclosing C/C++ Element","Shift+Alt+Up","C/C++ Editor"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Search","Show Occurrences in File Quick Menu","Shift+Ctrl+U","In Windows"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Views","Show View (Search)","Shift+Alt+Q S","In Windows"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"C/C++ Source","References","Shift+Ctrl+G","C/C++ Editor"
"Run/Debug","Run JUnit Test","Shift+Alt+X T","In Windows"
"C/C++ Source","Open Element","Shift+Ctrl+T","C/C++ Editor"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","C/C++ Editor"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing Java Source"
"Navigate","Previous","Ctrl+,","In Windows"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Navigate","Open Manifest","Shift+Ctrl+Alt+M","In Windows"
"Navigate","Show In (Package Explorer)","Alt+0","In Windows"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"File","Close All","Shift+Ctrl+W","In Windows"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"C/C++ Source","Add Include","Shift+Ctrl+N","C/C++ Editor"
"Navigate","Previous Page","Alt+Q","In Windows"
"Window","Show System Menu","Alt+-","In Windows"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Navigate","Forward History","Alt+Right","In Windows"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Refactor - Java","Move - Refactoring ","Shift+Alt+V","In Windows"
"Views","Show View ()","Shift+Alt+Q T","In Windows"
"Navigate","Open Include Browser","Ctrl+Alt+I","In C/C++ Views"
"Navigate","Go to Next Member","Ctrl+]","Editing Java Source"
"Git","Add to Git Index","Alt+G A","In Windows"
"Source","Show Source Quick Menu","Shift+Alt+S","In Windows"
"Git","Show in History","Alt+G L","In Windows"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Properties Files"
"C/C++ Source","Open Declaration","F3","In C/C++ Views"
"Views","Show View (Outline)","Shift+Alt+Q O","In Windows"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"Run/Debug","Debug","F11","In Windows"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","C/C++ Editor"
"Navigate","Go to Previous Member","Ctrl+[","Editing Java Source"
"Edit","Find Next","F3","Editing Text"
"C/C++ Source","Go to Previous Member","Shift+Ctrl+Up","C/C++ Editor"
"File","Properties","Alt+Enter","In Windows"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Window","Activate Editor","F12","In Windows"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In C/C++ Views"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Git","Push","Alt+G Shift+P","In Windows"
"Source","Add Block Comment","Shift+Ctrl+/","Editing Java Source"
"Uncategorized","Copy SHA-1","Ctrl+C","In Git Reflog View"
"C/C++ Source","Declaration","Ctrl+G","C/C++ Editor"
"Search","References in Workspace","Shift+Ctrl+G","In Windows"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"C/C++ Source","Forward","Alt+Right","In Macro Expansion Hover"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Navigate","Open Type","Shift+Ctrl+T","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In C/C++ Views"
"Run/Debug","Inspect","Shift+Ctrl+I","In Dialogs and Windows"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Run/Debug","Step Over","F6","Debugging"
"File","Refresh","F5","In Windows"
"Source","Format","Shift+Ctrl+F","Editing Ant Buildfiles"
"C/C++ Source","Sort Lines","Ctrl+Alt+S","C/C++ Editor"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing Java Source"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Views","Show View (Variables)","Shift+Alt+Q V","In Windows"
"C/C++ Source","Explore Macro Expansion","Ctrl+=","C/C++ Editor"
"C/C++ Source","Back","Alt+Left","In Macro Expansion Hover"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing Java Source"
"Refactor - C++","Extract Local Variable - Refactoring ","Shift+Alt+L","C/C++ Editor"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Navigate","Open Type Hierarchy","F4","C/C++ Editor"
"Views","Show View (Cheat Sheets)","Shift+Alt+Q H","In Windows"
"Navigate","Open Resource","Ctrl+P","In Windows"
"Run/Debug","Display","Shift+Ctrl+V","In Dialogs and Windows"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"File","Rename","F2","In Windows"
"Views","Show View (Console)","Shift+Alt+Q C","In Windows"
"Project","Build All","Ctrl+B","In Windows"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
